Group.Num,Replicate,Day,Time,Location,Members
1,1,1,1000,1,R E
2,1,1,1000,2,D B I
3,1,1,1000,7,F H
4,1,1,1000,10,S T
5,1,1,1115,1,R E
6,1,1,1115,2,B A I L
7,1,1,1115,4,M N
8,1,1,1115,7,F H K
9,1,1,1115,8,J W
10,1,1,1115,12,S V
11,1,1,1230,1,R E
12,1,1,1230,2,A B D I
13,1,1,1230,4,M N X
14,1,1,1230,7,H C F K L
15,1,1,1300,1,R E
16,1,1,1300,2,A B I D
17,1,1,1300,4,M O
18,1,1,1300,6,W Q
19,1,1,1300,7,W X F H
20,1,1,1430,1,R E Q X 
21,1,1,1430,2,A B I
22,1,1,1430,4,M N W
23,1,1,1430,7,L F C
24,1,1,1530,1,R E 
25,1,1,1530,2,A W 
26,1,1,1530,7,C H B X
27,1,1,1530,8,K L
28,1,1,1630,2,D I 
29,1,1,1630,7,B H X
30,1,1,1630,11,C N
31,1,1,1730,2,A T 
32,1,1,1730,7,L M
33,1,1,1800,4,E J L U
34,1,1,1800,10,B F
35,1,2,1000,1,T W
36,1,2,1000,2,A S V 
37,1,2,1000,4,C J
38,1,2,1000,6,B R
39,1,2,1000,7,H O
40,1,2,1000,8,K L
41,1,2,1000,11,X F Q M U
42,1,2,1115,2,A S V 
43,1,2,1115,4,C J
44,1,2,1115,6,N R
45,1,2,1115,7,T H 
46,1,2,1115,7,H O
47,1,2,1115,8,K L
48,1,2,1115,11,X F Q M U
49,1,2,1230,2,A S V 
50,1,2,1230,4,C J
51,1,2,1230,6,N R
52,1,2,1230,8,K L
53,1,2,1230,11,F M U X 
54,1,2,1230,11,Q T
55,1,2,1330,2,A S V 
56,1,2,1330,4,C J 
57,1,2,1330,6,N R
58,1,2,1330,8,D K L
59,1,2,1330,11,F M U X 
60,1,2,1330,11,Q T 
61,1,2,1430,2,A S V 
62,1,2,1430,4,C J
63,1,2,1430,6,N R
64,1,2,1430,8,D K L
65,1,2,1430,11,F M U X 
66,1,2,1430,11,Q T
67,1,2,1530,2,A S V 
68,1,2,1530,4,C J
69,1,2,1530,6,N R
70,1,2,1530,8,D K L
71,1,2,1530,11,F M U X 
72,1,2,1630,2,A S V 
73,1,2,1630,4,C J
74,1,2,1630,7,H I O
75,1,2,1630,8,D L
76,1,2,1630,12,P T
77,1,2,1730,2,A S
78,1,2,1730,4,C J 
79,1,2,1730,7,H I O U
80,1,2,1730,8,D L Q
81,1,2,1730,10,B G
82,1,2,1800,2,A S V 
83,1,2,1800,4,C J
84,1,2,1800,7,O U H I
85,1,2,1800,8,D L Q
86,1,2,1800,10,B G
87,1,3,1000,2,A S
88,1,3,1000,4,C E Q
89,1,3,1000,7,O H
90,1,3,1000,8,D L N R
91,1,3,1000,10,B F K
92,1,3,1000,12,M P V
93,1,3,1115,2,A S
94,1,3,1115,4,C E Q
95,1,3,1115,7,H O
96,1,3,1115,8,D L N R
97,1,3,1115,10,B F K
98,1,3,1115,12,M P V
99,1,3,1230,2,A S
100,1,3,1230,4,C E Q
101,1,3,1230,7,H O
102,1,3,1230,8,D L N R
103,1,3,1230,10,B F K
104,1,3,1230,12,M P V
105,1,3,1330,2,A S
106,1,3,1330,6,Q T
107,1,3,1330,7,H O
108,1,3,1330,8,L D
109,1,3,1330,8,L N R
110,1,3,1330,10,B F G K
111,1,3,1330,12,M P V
112,1,3,1430,2,A S
113,1,3,1430,4,C J
114,1,3,1430,6,Q T
115,1,3,1430,7,I O
116,1,3,1430,8,N D
117,1,3,1430,10,B F G K
118,1,3,1430,12,P V
119,1,3,1530,2,A S
120,1,3,1530,7,C I R
121,1,3,1530,7,I O
122,1,3,1530,7,O H
123,1,3,1530,8,D T
124,1,3,1530,9,B L
125,1,3,1530,12,E M P
126,1,3,1630,4,J N
127,1,3,1630,7,G H
128,1,3,1630,12,M E
129,1,3,1730,2,A S
130,1,3,1730,11,C L
131,1,3,1730,12,M P
132,1,3,1800,7,G H I
133,1,3,1800,7,P U
134,1,3,1800,11,C L
135,1,3,1800,12,A E T
136,1,4,1000,2,O Q S
137,1,4,1000,7,G H I 
138,1,4,1000,10,R U V
139,1,4,1000,11,C F 
140,1,4,1000,12,E T 
141,1,4,1115,2,E G
142,1,4,1115,7,G H I 
143,1,4,1115,10,R U V
144,1,4,1115,11,F L
145,1,4,1115,12,E T 
146,1,4,1230,2,Q S
147,1,4,1230,7,G H I
148,1,4,1230,10,R U V
149,1,4,1230,11,C F 
150,1,4,1230,12,M E
151,1,4,1330,2,Q S
152,1,4,1330,7,S T
153,1,4,1330,7,F I
154,1,4,1330,8,D L
155,1,4,1330,10,R V
156,1,4,1330,12,M T
157,1,4,1330,12,A E
158,1,4,1430,2,E G
159,1,4,1430,2,F O
160,1,4,1430,4,J W
161,1,4,1430,7,G H I
162,1,4,1430,8,D L
163,1,4,1430,10,U V
164,1,4,1430,12,A E R
165,1,4,1530,4,J W
166,1,4,1530,7,G H I L
167,1,4,1530,12,M T
168,1,4,1530,12,A E
169,1,4,1630,4,J W
170,1,4,1630,7,G H I
171,1,4,1630,8,D F
172,1,4,1630,12,A M T
173,1,4,1730,7,G H I
174,1,4,1730,9,B K
175,1,4,1800,4,F W
176,1,4,1800,7,G H I L
177,1,4,1800,9,B K V
178,1,4,1800,12,E A
179,1,5,1000,2,Q V
180,1,5,1000,4,F J
181,1,5,1000,4,S W
182,1,5,1000,7,G H L
183,1,5,1000,7,L O
184,1,5,1000,9,B K R
185,1,5,1000,11,A C
186,1,5,1115,4,S J 
187,1,5,1115,7,G H
188,1,5,1115,8,D X
189,1,5,1115,9,K R
190,1,5,1115,11,A C
191,1,5,1230,1,M X
192,1,5,1230,6,P T
193,1,5,1230,7,G H I
194,1,5,1230,9,K R
195,1,5,1230,12,D E
196,1,5,1330,7,G H I S W
197,1,5,1330,9,K R
198,1,5,1330,12,E M
199,1,5,1430,7,G I
200,1,5,1430,9,K R
201,1,5,1430,11,A C
202,1,5,1430,12,D E
203,1,5,1530,6,A K E
204,1,5,1630,4,J U
205,1,5,1630,6,B E
206,1,5,1630,7,F I
207,1,5,1630,10,C G
208,1,5,1730,4,F J 
209,1,5,1730,6,B E
210,1,5,1730,7,I K
211,1,5,1800,7,I K
212,1,5,1800,12,L O
213,1,6,1000,4,F Q
214,1,6,1000,6,B E
215,1,6,1000,6,X H T
216,1,6,1000,7,I K
217,1,6,1000,12,L V
218,1,6,1000,12,A O
219,1,6,1115,6,E P
220,1,6,1115,6,H T
221,1,6,1115,7,I K
222,1,6,1115,10,C G
223,1,6,1115,12,A V
224,1,6,1230,6,E H
225,1,6,1230,10,C G
226,1,6,1330,1,V W
227,1,6,1330,6,H T
228,1,6,1430,6,H T
229,1,6,1430,12,C E Q
230,1,6,1530,4,C L 
231,1,6,1530,12,A K
232,1,6,1630,6,H N P
233,1,6,1630,7,B W
234,1,6,1730,4,J O
235,1,6,1730,6,L N
236,1,6,1730,7,B W
237,1,6,1730,7,I X
238,1,6,1730,10,F U
239,2,1,900,1,X U M J
240,2,1,900,5,D N F
241,2,1,900,8,L R
242,2,1,900,10,H I O
243,2,1,900,10,T V
244,2,1,1000,1,J U M
245,2,1,1000,5,N D
246,2,1,1100,1,J U M
247,2,1,1100,5,N D
248,2,1,1200,1,M U
249,2,1,1200,10,P H
250,2,1,1300,1,J K U F
251,2,1,1500,7,U F L
252,2,1,1600,10,K J V X
253,2,1,1700,10,I C
254,2,1,1700,12,R T
255,2,2,900,7,J O
256,2,2,900,8,A K
257,2,2,900,10,V M 
258,2,2,900,10,P I C
259,2,2,900,12,B F W T
260,2,2,1000,7,J O
261,2,2,1000,8,A K
262,2,2,1000,10,M V
263,2,2,1000,10,I P C
264,2,2,1000,12,B F W T
265,2,2,1100,7,J O
266,2,2,1100,8,A K
267,2,2,1100,10,M V
268,2,2,1100,10,I P C
269,2,2,1100,12,W T
270,2,2,1200,8,A K
271,2,2,1200,10,I P
272,2,2,1200,12,W T
273,2,2,1300,1,D U
274,2,2,1300,2,O J
275,2,2,1300,10,C I P V
276,2,2,1300,12,W T
277,2,2,1400,8,A B 
278,2,2,1400,10,I P V
279,2,2,1400,12,T K 
280,2,2,1500,8,A B 
281,2,2,1500,10,C I P V
282,2,2,1600,1,D U
283,2,2,1600,8,A B 
284,2,2,1600,10,C E I K P V
285,2,2,1700,1,D U
286,2,2,1700,8,A B 
287,2,2,1700,10,C E K P V
288,2,3,900,1,D U
289,2,3,900,4,X S
290,2,3,900,7,M J
291,2,3,900,8,A B 
292,2,3,900,10,C P V K E
293,2,3,1000,1,D U 
294,2,3,1000,7,M J
295,2,3,1000,8,A B 
296,2,3,1000,10,C K P V
297,2,3,1000,12,N W
298,2,3,1100,1,D U
299,2,3,1100,8,A B 
300,2,3,1100,10,C K P V
301,2,3,1100,10,E I
302,2,3,1100,12,N W
303,2,3,1200,8,A L
304,2,3,1200,10,P V
305,2,3,1300,8,A L 
306,2,3,1300,10,C P V
307,2,3,1300,12,N W T
308,2,3,1500,7,R S
309,2,3,1500,8,A E G
310,2,3,1500,10,T V
311,2,3,1600,2,K F
312,2,3,1600,8,A H
313,2,3,1600,10,R T V W X
314,2,3,1600,11,D G
315,2,3,1700,8,A H
316,2,3,1700,10,D M R W
317,2,3,1700,10,G T V X
318,2,4,900,2,C E
319,2,4,900,10,B D G I P T W X V
320,2,4,900,11,N U
321,2,4,900,12,K S
322,2,4,1000,2,C E
323,2,4,1000,10,P W
324,2,4,1000,10,B G R T V X
325,2,4,1000,11,N U
326,2,4,1000,12,K S
327,2,4,1100,2,C E M
328,2,4,1100,10,W R
329,2,4,1100,10,P T X
330,2,4,1100,10,B G I V
331,2,4,1100,11,D N U
332,2,4,1100,12,K S
333,2,4,1200,2,C E M 
334,2,4,1200,10,W R
335,2,4,1200,10,B T V X
336,2,4,1200,12,K S
337,2,4,1300,2,C E M
338,2,4,1300,8,A H
339,2,4,1300,10,B G I R T W X
340,2,4,1300,11,D J V
341,2,4,1300,12,K S
342,2,4,1400,2,C E
343,2,4,1400,2,F M
344,2,4,1400,8,A H
345,2,4,1400,10,B G I R T W X
346,2,4,1400,11,U J
347,2,4,1400,12,K S
348,2,4,1500,2,C E
349,2,4,1500,10,B R V W 
350,2,4,1500,10,I T X
351,2,4,1500,11,U J
352,2,4,1500,12,K S
353,2,4,1600,2,E P
354,2,4,1600,10,B G I R V W X
355,2,4,1600,11,J U
356,2,4,1600,12,K S
357,2,4,1700,2,F M
358,2,4,1700,8,E H
359,2,4,1700,10,R T V W
360,2,4,1700,10,B G I X
361,2,4,1700,11,J U
362,2,4,1700,12,K S
363,2,5,900,8,E H 
364,2,5,900,10,B D G I M R T V W X
365,2,5,900,11,J U N
366,2,5,900,12,S K
367,2,5,1000,8,E H
368,2,5,1000,10,B D M R S V X
369,2,5,1000,11,J U N
370,2,5,1000,12,K S
371,2,5,1100,8,E H
372,2,5,1100,10,B I M R W X
373,2,5,1100,10,D G
374,2,5,1100,11,J U
375,2,5,1200,8,A C H
376,2,5,1200,10,B R V W 
377,2,5,1200,10,G I
378,2,5,1200,12,K S
379,2,5,1300,10,B G R W
380,2,5,1300,12,K S
381,2,5,1400,1,E H
382,2,5,1400,10,P R
383,2,5,1500,10,N R
384,2,5,1500,10,G J
385,2,5,1500,12,M K
386,2,5,1600,3,D X
387,2,5,1600,10,G N R T
388,2,5,1600,10,F J
389,2,5,1600,12,S K M
390,2,5,1700,10,G H J R W N
391,2,5,1700,11,B O U
392,2,5,1700,12,S K M
393,2,6,900,7,A L V
394,2,6,900,10,B G D R T W N
395,2,6,900,12,S M K
396,2,6,1000,10,B G N R W
397,2,6,1000,12,M K
398,2,6,1100,1,E H
399,2,6,1100,10,G N R W
400,2,6,1100,10,B D T
401,2,6,1100,12,K I
402,2,6,1200,7,P L
403,2,6,1200,10,B D G N R T W
404,2,6,1200,12,I S
405,2,6,1300,7,P L
406,2,6,1300,10,N R T W 
407,2,6,1300,10,D F G
408,2,6,1300,12,I M
409,2,6,1400,1,E H 
410,2,6,1400,7,P L
411,2,6,1400,10,D G N R T W
412,2,6,1400,11,U J 
413,2,6,1400,12,I K
414,2,6,1500,7,A L P
415,2,6,1500,10,D G N R T W X
416,2,6,1500,12,K I
417,2,6,1600,1,E H
418,2,6,1600,7,A L P V
419,2,6,1600,10,D G N R T W X S
420,2,6,1600,12,I K
421,2,6,1700,7,A L P
422,2,6,1700,10,B D G N R S T W S
423,2,6,1700,11,O J
424,2,6,1700,12,I K
